method,epoch,lr,stack,bs,gating,batch_norm,Fsize,hiddens,Fnum,JSD,RNSS,time
CNNRNN,10,0.001,3,30,False,True,2_2,1024,256_512_1024,0.029003952240651793,0.10464964699684758,10.814026358956472
CNNRNN,16,0.001,3,30,False,True,2_2,1024,128_256_512,0.029752756459182322,0.10603225413604972,7.1843754269357305
CNNRNN,17,0.001,1,30,False,True,2_2,1024,256,0.026893971684401517,0.09965299841287076,5.172218456672614
CNNRNN,16,0.001,2,30,False,True,2_2,1024,256_512,0.0263508912769785,0.09762254416626619,6.725861020328011
CNNRNN,16,0.001,3,30,False,True,2_2,1024,256_512_1024,0.02649425155625851,0.10035368710179605,10.609186207380844
