method,epoch,lr,stack,bs,gating,batch_norm,Fsize,hiddens,Fnum,JSD,RNSS,time
CNNRNN,10,0.001,3,30,False,True,2_2,1024,256_512_1024,0.028728652344236067,0.10030116334437854,10.948634572001174
CNNRNN,15,0.001,3,30,False,True,2_2,1024,128_256_512,0.027478772717461207,0.10045366821082317,7.342678780139734
CNNRNN,21,0.001,1,30,False,True,2_2,1024,256,0.028632791651027983,0.10592161290609607,5.298821022312733
CNNRNN,11,0.001,2,30,False,True,2_2,1024,256_512,0.026771942535975063,0.09713431594838798,7.058534586505795
CNNRNN,14,0.001,3,30,False,True,2_2,1024,256_512_1024,0.02734344210607199,0.1009602170261481,10.821574864277084
